setting,policy,cap,threshold,posthoc_screened_quality,cases,positive_cases,supported_answers,quality,negative_abstention,mean_input_tokens,mean_total_tokens,tokens_per_supported_answer,availability,utilization,target_recall,model_attribution,mean_receipt_latency_s,mean_rounds,pareto_primary
relational:400:t3,relational,400,3,0.25,24,20,5,0.25,0.75,1174.4583333333333,1413.2916666666667,6783.8,0.38636363636363635,1.0,0.38636363636363635,0.8260869565217391,3.8390420224532136,1.0,True
tfidf:1600:t3,tfidf,1600,3,0.65,24,20,13,0.65,1.0,2431.4583333333335,2671.75,4932.461538461538,0.9545454545454546,0.6904761904761905,0.6590909090909091,0.8769230769230769,3.702877730798112,1.0,False
recent:100000:t3,recent,100000,3,0.2,24,20,4,0.2,1.0,1186.9166666666667,1417.7916666666667,8506.75,0.22727272727272727,0.9,0.20454545454545456,0.8125,3.5920288437531176,1.0,False
relational:2400:t3,relational,2400,3,0.6,24,20,12,0.6,1.0,3284.625,3519.625,7039.25,0.9545454545454546,0.5,0.4772727272727273,0.7704918032786885,3.809042118130795,1.0,False
summary:300:t3,summary,300,3,0.0,24,20,0,0.0,0.75,911.2083333333334,1145.125,,0.0,,0.11363636363636363,0.42857142857142855,3.392022203251448,1.0,True
full:100000:t3,full,100000,3,0.75,24,20,15,0.75,0.75,2649.5416666666665,2890.125,4624.2,1.0,0.6818181818181818,0.6818181818181818,0.9523809523809523,3.682033606118542,1.0,False
embedding:400:t3,embedding,400,3,0.5,24,20,10,0.5,1.0,1200.9583333333333,1434.6666666666667,3443.2,0.5909090909090909,0.9230769230769231,0.5454545454545454,0.8591549295774648,3.7210544964133683,1.0,True
tfidf:1200:t3,tfidf,1200,3,0.75,24,20,15,0.75,1.0,2017.75,2261.75,3618.8,0.8409090909090909,0.7297297297297297,0.6136363636363636,0.8985507246376812,4.017343947748789,1.0,False
tfidf:400:t3,tfidf,400,3,0.4,24,20,8,0.4,1.0,1206.2916666666667,1449.75,4349.25,0.5227272727272727,1.0,0.5227272727272727,0.8,3.581312515612808,1.0,False
embedding:1600:t3,embedding,1600,3,0.9,24,20,18,0.9,0.75,2467.0,2713.0833333333335,3617.4444444444443,0.9545454545454546,0.6904761904761905,0.6590909090909091,0.9714285714285714,3.6954041527569643,1.0,True
embedding:2400:t3,embedding,2400,3,0.8,24,20,16,0.8,0.75,2642.1666666666665,2878.9583333333335,4318.4375,1.0,0.6818181818181818,0.6818181818181818,0.9333333333333333,3.833765048540954,1.0,False
tfidf:800:t3,tfidf,800,3,0.65,24,20,13,0.65,1.0,1585.625,1819.0833333333333,3358.3076923076924,0.75,0.7878787878787878,0.5909090909090909,0.9090909090909091,3.6940738787064524,1.0,True
embedding:800:t3,embedding,800,3,0.45,24,20,9,0.45,0.75,1619.875,1866.8333333333333,4978.222222222223,0.75,0.7575757575757576,0.5681818181818182,0.9142857142857143,3.823707697837866,1.0,False
embedding:1200:t3,embedding,1200,3,0.8,24,20,16,0.8,1.0,2011.2916666666667,2248.75,3373.125,0.8181818181818182,0.6666666666666666,0.5454545454545454,0.9104477611940298,3.561901859327918,1.0,True
tfidf:2400:t3,tfidf,2400,3,0.9,24,20,18,0.9,0.75,2650.4583333333335,2892.375,3856.5,1.0,0.6590909090909091,0.6590909090909091,0.967741935483871,3.7195026007805914,1.0,False
adaptive:100000:t3,adaptive,100000,3,0.85,24,20,18,0.9,0.75,9545.375,10336.125,13781.5,0.7045454545454546,0.7741935483870968,0.5454545454545454,1.0,14.520215300176156,3.3333333333333335,False
relational:1600:t3,relational,1600,3,0.4,24,20,8,0.4,1.0,2474.375,2720.3333333333335,8161.0,0.7727272727272727,0.6470588235294118,0.5,0.7857142857142857,3.715868642543986,1.0,False
relational:800:t3,relational,800,3,0.3,24,20,6,0.3,1.0,1552.25,1793.7083333333333,7174.833333333333,0.5454545454545454,0.8333333333333334,0.45454545454545453,0.7285714285714285,3.490731664955092,1.0,False
relational:1200:t3,relational,1200,3,0.35,24,20,8,0.4,0.75,2067.4583333333335,2317.2916666666665,6951.875,0.6818181818181818,0.7,0.4772727272727273,0.7746478873239436,3.9814675502978694,1.0,False
adaptive:100000:t2,adaptive,100000,2,0.85,24,20,18,0.9,0.75,9880.458333333334,10734.916666666666,14313.222222222223,0.7045454545454546,0.7741935483870968,0.5454545454545454,1.0,15.136915044973042,3.3333333333333335,False
adaptive:100000:t4,adaptive,100000,4,0.85,24,20,18,0.9,0.75,10053.166666666666,10801.0,14401.333333333334,0.7727272727272727,0.7352941176470589,0.5681818181818182,1.0,13.40449453984426,3.7083333333333335,False
