setting,policy,cap,threshold,album,posthoc_screened_quality,cases,positive_cases,supported_answers,quality,negative_abstention,mean_input_tokens,mean_total_tokens,tokens_per_supported_answer,availability,utilization,target_recall,model_attribution,mean_receipt_latency_s,mean_rounds
relational:400:t3,relational,400,3,rhcp,0.4,6,5,2,0.4,0.0,1229.8333333333333,1488.6666666666667,4466.0,0.2727272727272727,1.0,0.2727272727272727,0.8947368421052632,4.390319979002622,1.0
relational:400:t3,relational,400,3,roach,0.0,6,5,0,0.0,1.0,1129.8333333333333,1340.3333333333333,,0.45454545454545453,1.0,0.45454545454545453,0.8,3.4644112083284804,1.0
relational:400:t3,relational,400,3,beatles,0.2,6,5,1,0.2,1.0,1172.6666666666667,1417.3333333333333,8504.0,0.5454545454545454,1.0,0.5454545454545454,0.7777777777777778,3.8244655973200374,1.0
relational:400:t3,relational,400,3,natalia,0.4,6,5,2,0.4,1.0,1165.5,1406.8333333333333,4220.5,0.2727272727272727,1.0,0.2727272727272727,0.8235294117647058,3.6769713051617146,1.0
tfidf:1600:t3,tfidf,1600,3,rhcp,0.4,6,5,2,0.4,1.0,2493.8333333333335,2754.0,8262.0,0.8181818181818182,0.6666666666666666,0.5454545454545454,0.75,4.06916957651265,1.0
tfidf:1600:t3,tfidf,1600,3,roach,0.8,6,5,4,0.8,1.0,2372.5,2604.5,3906.75,1.0,0.7272727272727273,0.7272727272727273,1.0,3.5433324648377797,1.0
tfidf:1600:t3,tfidf,1600,3,beatles,0.6,6,5,3,0.6,1.0,2448.0,2678.6666666666665,5357.333333333333,1.0,0.8181818181818182,0.8181818181818182,0.8461538461538461,3.6225598333306457,1.0
tfidf:1600:t3,tfidf,1600,3,natalia,0.8,6,5,4,0.8,1.0,2411.5,2649.8333333333335,3974.75,1.0,0.5454545454545454,0.5454545454545454,0.9411764705882353,3.5764490485113734,1.0
recent:100000:t3,recent,100000,3,rhcp,0.2,6,5,1,0.2,1.0,1161.1666666666667,1393.5,8361.0,0.09090909090909091,1.0,0.09090909090909091,0.9375,3.8644478331843857,1.0
recent:100000:t3,recent,100000,3,roach,0.2,6,5,1,0.2,1.0,1163.6666666666667,1378.1666666666667,8269.0,0.2727272727272727,1.0,0.2727272727272727,0.6,3.3712084096623585,1.0
recent:100000:t3,recent,100000,3,beatles,0.0,6,5,0,0.0,1.0,1214.5,1463.6666666666667,,0.2727272727272727,0.6666666666666666,0.18181818181818182,0.7777777777777778,3.598858041659696,1.0
recent:100000:t3,recent,100000,3,natalia,0.4,6,5,2,0.4,1.0,1208.3333333333333,1435.8333333333333,4307.5,0.2727272727272727,1.0,0.2727272727272727,0.9333333333333333,3.5336010905060298,1.0
relational:2400:t3,relational,2400,3,rhcp,0.8,6,5,4,0.8,1.0,3287.1666666666665,3525.6666666666665,5288.5,0.9090909090909091,0.2,0.18181818181818182,0.7058823529411765,4.135091639026844,1.0
relational:2400:t3,relational,2400,3,roach,0.6,6,5,3,0.6,1.0,3303.0,3549.1666666666665,7098.333333333333,1.0,0.5454545454545454,0.5454545454545454,0.875,3.683631895672685,1.0
relational:2400:t3,relational,2400,3,beatles,0.4,6,5,2,0.4,1.0,3242.6666666666665,3465.0,10395.0,0.9090909090909091,0.9,0.8181818181818182,0.7692307692307693,4.033522347318164,1.0
relational:2400:t3,relational,2400,3,natalia,0.6,6,5,3,0.6,1.0,3305.6666666666665,3538.6666666666665,7077.333333333333,1.0,0.36363636363636365,0.36363636363636365,0.7333333333333333,3.383922590505487,1.0
summary:300:t3,summary,300,3,rhcp,0.0,6,5,0,0.0,0.0,934.0,1182.3333333333333,,0.0,,0.09090909090909091,0.3888888888888889,3.8329534723404017,1.0
summary:300:t3,summary,300,3,roach,0.0,6,5,0,0.0,1.0,830.0,1048.5,,0.0,,0.0,0.25,2.9694130628195126,1.0
summary:300:t3,summary,300,3,beatles,0.0,6,5,0,0.0,1.0,780.1666666666666,998.6666666666666,,0.0,,0.0,0.0,2.9175344789982773,1.0
summary:300:t3,summary,300,3,natalia,0.0,6,5,0,0.0,1.0,1100.6666666666667,1351.0,,0.0,,0.36363636363636365,0.875,3.8481877988475994,1.0
full:100000:t3,full,100000,3,rhcp,0.6,6,5,3,0.6,0.0,2857.1666666666665,3126.3333333333335,6252.666666666667,1.0,0.5454545454545454,0.5454545454545454,1.0,4.244864895823412,1.0
full:100000:t3,full,100000,3,roach,1.0,6,5,5,1.0,1.0,2366.3333333333335,2594.0,3112.8,1.0,0.8181818181818182,0.8181818181818182,1.0,3.617112284817267,1.0
full:100000:t3,full,100000,3,beatles,0.8,6,5,4,0.8,1.0,2964.5,3194.0,4791.0,1.0,0.8181818181818182,0.8181818181818182,0.9166666666666666,3.293635931176444,1.0
full:100000:t3,full,100000,3,natalia,0.6,6,5,3,0.6,1.0,2410.1666666666665,2646.1666666666665,5292.333333333333,1.0,0.5454545454545454,0.5454545454545454,0.8823529411764706,3.572521312657045,1.0
embedding:400:t3,embedding,400,3,rhcp,0.4,6,5,2,0.4,1.0,1190.0,1427.3333333333333,4282.0,0.45454545454545453,1.0,0.45454545454545453,0.85,3.6662434098349572,1.0
embedding:400:t3,embedding,400,3,roach,0.6,6,5,3,0.6,1.0,1210.3333333333333,1442.3333333333333,2884.6666666666665,0.6363636363636364,1.0,0.6363636363636364,0.8235294117647058,3.7567972843341217,1.0
embedding:400:t3,embedding,400,3,beatles,0.4,6,5,2,0.4,1.0,1216.8333333333333,1464.1666666666667,4392.5,0.7272727272727273,0.875,0.6363636363636364,0.8421052631578947,3.5696994653165652,1.0
embedding:400:t3,embedding,400,3,natalia,0.6,6,5,3,0.6,1.0,1186.6666666666667,1404.8333333333333,2809.6666666666665,0.5454545454545454,0.8333333333333334,0.45454545454545453,0.9333333333333333,3.8914778261678293,1.0
tfidf:1200:t3,tfidf,1200,3,rhcp,0.6,6,5,3,0.6,1.0,1958.1666666666667,2200.6666666666665,4401.333333333333,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.7894736842105263,4.372154243154607,1.0
tfidf:1200:t3,tfidf,1200,3,roach,0.8,6,5,4,0.8,1.0,2003.5,2248.0,3372.0,0.9090909090909091,0.9,0.8181818181818182,0.9411764705882353,3.578484694007784,1.0
tfidf:1200:t3,tfidf,1200,3,beatles,0.6,6,5,3,0.6,1.0,2093.3333333333335,2342.0,4684.0,1.0,0.7272727272727273,0.7272727272727273,0.8823529411764706,4.638159166827488,1.0
tfidf:1200:t3,tfidf,1200,3,natalia,1.0,6,5,5,1.0,1.0,2016.0,2256.3333333333335,2707.6,0.9090909090909091,0.6,0.5454545454545454,1.0,3.4805776870052796,1.0
tfidf:400:t3,tfidf,400,3,rhcp,0.2,6,5,1,0.2,1.0,1196.6666666666667,1451.0,8706.0,0.36363636363636365,1.0,0.36363636363636365,0.7619047619047619,3.6184672844732026,1.0
tfidf:400:t3,tfidf,400,3,roach,0.6,6,5,3,0.6,1.0,1182.8333333333333,1398.8333333333333,2797.6666666666665,0.7272727272727273,1.0,0.7272727272727273,0.8125,3.5671149168047123,1.0
tfidf:400:t3,tfidf,400,3,beatles,0.2,6,5,1,0.2,1.0,1223.5,1478.5,8871.0,0.7272727272727273,1.0,0.7272727272727273,0.631578947368421,3.6701654861778175,1.0
