setting,policy,cap,threshold,task,posthoc_screened_quality,cases,positive_cases,supported_answers,quality,negative_abstention,mean_input_tokens,mean_total_tokens,tokens_per_supported_answer,availability,utilization,target_recall,model_attribution,mean_receipt_latency_s,mean_rounds
relational:400:t3,relational,400,3,local,0.25,4,4,1,0.25,,1235.5,1502.5,6010.0,0.5,1.0,0.5,0.6666666666666666,3.7739254375046585,1.0
relational:400:t3,relational,400,3,distant,0.75,4,4,3,0.75,,1342.5,1663.5,2218.0,0.375,1.0,0.375,1.0,4.347763093726826,1.0
relational:400:t3,relational,400,3,transformation,0.25,4,4,1,0.25,,1192.5,1419.25,5677.0,0.375,1.0,0.375,0.7,4.740609177009901,1.0
relational:400:t3,relational,400,3,contradiction,0.0,4,4,0,0.0,,1200.0,1415.25,,0.5,1.0,0.5,0.8888888888888888,3.6686113750038203,1.0
relational:400:t3,relational,400,3,multi_hop,0.0,4,4,0,0.0,,1312.75,1603.75,,0.25,1.0,0.25,0.8666666666666667,4.420541739484179,1.0
relational:400:t3,relational,400,3,abstention,,4,0,0,,0.75,763.5,875.5,,,,,0.75,2.082801311989897,1.0
tfidf:1600:t3,tfidf,1600,3,local,0.5,4,4,2,0.5,,2520.0,2784.0,5568.0,0.75,1.0,0.75,0.9230769230769231,3.9427484165207716,1.0
tfidf:1600:t3,tfidf,1600,3,distant,1.0,4,4,4,1.0,,2596.5,2906.75,2906.75,1.0,0.5,0.5,1.0,4.8053075727657415,1.0
tfidf:1600:t3,tfidf,1600,3,transformation,0.75,4,4,3,0.75,,2495.0,2740.75,3654.3333333333335,1.0,0.875,0.875,0.9,4.125511093749083,1.0
tfidf:1600:t3,tfidf,1600,3,contradiction,0.25,4,4,1,0.25,,2522.0,2776.5,11106.0,1.0,0.5,0.5,0.9090909090909091,3.702458884756197,1.0
tfidf:1600:t3,tfidf,1600,3,multi_hop,0.75,4,4,3,0.75,,2564.25,2848.75,3798.3333333333335,1.0,0.6666666666666666,0.6666666666666666,0.9230769230769231,4.264818052237388,1.0
tfidf:1600:t3,tfidf,1600,3,abstention,,4,0,0,,1.0,1891.0,1973.75,,,,,0.0,1.3764223647594918,1.0
recent:100000:t3,recent,100000,3,local,0.75,4,4,3,0.75,,1310.0,1605.75,2141.0,0.0,,0.0,0.875,4.376221906015417,1.0
recent:100000:t3,recent,100000,3,distant,0.0,4,4,0,0.0,,1338.0,1611.5,,0.375,0.6666666666666666,0.25,0.7857142857142857,4.4595778962248005,1.0
recent:100000:t3,recent,100000,3,transformation,0.25,4,4,1,0.25,,1248.0,1482.0,5928.0,0.25,1.0,0.25,0.9,3.4832261562842177,1.0
recent:100000:t3,recent,100000,3,contradiction,0.0,4,4,0,0.0,,1249.75,1476.0,,0.125,1.0,0.125,0.7,3.968396260490408,1.0
recent:100000:t3,recent,100000,3,multi_hop,0.0,4,4,0,0.0,,1334.25,1625.25,,0.3333333333333333,1.0,0.3333333333333333,0.7857142857142857,4.158669802243821,1.0
recent:100000:t3,recent,100000,3,abstention,,4,0,0,,1.0,641.5,706.25,,,,,,1.1060810412600404,1.0
relational:2400:t3,relational,2400,3,local,0.5,4,4,2,0.5,,3400.5,3685.75,7371.5,1.0,0.75,0.75,0.75,4.154914593775175,1.0
relational:2400:t3,relational,2400,3,distant,1.0,4,4,4,1.0,,3466.5,3780.5,3780.5,1.0,0.5,0.5,1.0,4.490588208514964,1.0
relational:2400:t3,relational,2400,3,transformation,0.25,4,4,1,0.25,,3272.0,3492.5,13970.0,1.0,0.5,0.5,0.42857142857142855,3.453343573011807,1.0
relational:2400:t3,relational,2400,3,contradiction,0.25,4,4,1,0.25,,3352.75,3570.0,14280.0,0.875,0.2857142857142857,0.25,0.7142857142857143,5.257165895731305,1.0
relational:2400:t3,relational,2400,3,multi_hop,1.0,4,4,4,1.0,,3426.25,3712.75,3712.75,0.9166666666666666,0.45454545454545453,0.4166666666666667,1.0,4.109258739757934,1.0
relational:2400:t3,relational,2400,3,abstention,,4,0,0,,1.0,2789.75,2876.25,,,,,0.0,1.3889816979935858,1.0
summary:300:t3,summary,300,3,local,0.0,4,4,0,0.0,,766.0,1007.0,,0.0,,0.25,0.8571428571428571,3.46627612526936,1.0
summary:300:t3,summary,300,3,distant,0.0,4,4,0,0.0,,976.5,1253.75,,0.0,,0.0,0.5,3.6201963545172475,1.0
summary:300:t3,summary,300,3,transformation,0.0,4,4,0,0.0,,1073.5,1342.0,,0.0,,0.0,0.3333333333333333,3.730118260733434,1.0
summary:300:t3,summary,300,3,contradiction,0.0,4,4,0,0.0,,1045.0,1285.25,,0.0,,0.0,0.3,3.7878744789923076,1.0
summary:300:t3,summary,300,3,multi_hop,0.0,4,4,0,0.0,,1152.75,1462.75,,0.0,,0.25,0.3333333333333333,4.4793119479872985,1.0
summary:300:t3,summary,300,3,abstention,,4,0,0,,0.75,453.5,520.0,,,,,,1.2683560520090396,1.0
full:100000:t3,full,100000,3,local,0.5,4,4,2,0.5,,2713.5,2987.0,5974.0,1.0,0.75,0.75,0.9230769230769231,4.136663239492918,1.0
full:100000:t3,full,100000,3,distant,1.0,4,4,4,1.0,,2771.75,3065.5,3065.5,1.0,0.5,0.5,1.0,4.086811552508152,1.0
full:100000:t3,full,100000,3,transformation,1.0,4,4,4,1.0,,2699.75,2956.75,2956.75,1.0,0.875,0.875,1.0,3.9688912292185705,1.0
full:100000:t3,full,100000,3,contradiction,0.5,4,4,2,0.5,,2700.75,2932.25,5864.5,1.0,0.625,0.625,0.9,3.6055236667598365,1.0
full:100000:t3,full,100000,3,multi_hop,0.75,4,4,3,0.75,,2763.75,3037.75,4050.3333333333335,1.0,0.6666666666666666,0.6666666666666666,0.9230769230769231,4.365854187984951,1.0
full:100000:t3,full,100000,3,abstention,,4,0,0,,0.75,2247.75,2361.5,,,,,1.0,1.9284577607468236,1.0
embedding:400:t3,embedding,400,3,local,0.5,4,4,2,0.5,,1304.75,1586.5,3173.0,0.75,1.0,0.75,0.875,4.464013989476371,1.0
embedding:400:t3,embedding,400,3,distant,0.5,4,4,2,0.5,,1377.0,1665.0,3330.0,0.625,0.8,0.5,0.9375,4.476274978995207,1.0
embedding:400:t3,embedding,400,3,transformation,0.5,4,4,2,0.5,,1284.75,1542.5,3085.0,0.625,0.8,0.5,0.8333333333333334,4.1001299792551436,1.0
embedding:400:t3,embedding,400,3,contradiction,0.25,4,4,1,0.25,,1287.25,1535.0,6140.0,0.375,1.0,0.375,0.8333333333333334,3.49234791676281,1.0
embedding:400:t3,embedding,400,3,multi_hop,0.75,4,4,3,0.75,,1302.0,1550.75,2067.6666666666665,0.5833333333333334,1.0,0.5833333333333334,1.0,4.528972145228181,1.0
embedding:400:t3,embedding,400,3,abstention,,4,0,0,,1.0,650.0,728.25,,,,,0.0,1.2645879687624983,1.0
tfidf:1200:t3,tfidf,1200,3,local,0.5,4,4,2,0.5,,2106.0,2367.0,4734.0,0.75,1.0,0.75,0.7857142857142857,4.056999416745384,1.0
tfidf:1200:t3,tfidf,1200,3,distant,1.0,4,4,4,1.0,,2200.0,2518.75,2518.75,0.875,0.5714285714285714,0.5,1.0,5.794468864245573,1.0
tfidf:1200:t3,tfidf,1200,3,transformation,0.75,4,4,3,0.75,,2115.0,2371.75,3162.3333333333335,1.0,0.75,0.75,1.0,4.0957255727553274,1.0
tfidf:1200:t3,tfidf,1200,3,contradiction,0.5,4,4,2,0.5,,2108.25,2379.25,4758.5,0.875,0.7142857142857143,0.625,1.0,4.98220551002305,1.0
tfidf:1200:t3,tfidf,1200,3,multi_hop,1.0,4,4,4,1.0,,2113.0,2385.25,2385.25,0.75,0.6666666666666666,0.5,1.0,3.8481914582225727,1.0
tfidf:1200:t3,tfidf,1200,3,abstention,,4,0,0,,1.0,1464.25,1548.5,,,,,0.0,1.326472864500829,1.0
tfidf:400:t3,tfidf,400,3,local,0.0,4,4,0,0.0,,1288.25,1562.0,,0.375,1.0,0.375,0.8,3.9029193022142863,1.0
tfidf:400:t3,tfidf,400,3,distant,0.25,4,4,1,0.25,,1374.0,1671.5,6686.0,0.5,1.0,0.5,0.75,4.843018041967298,1.0
tfidf:400:t3,tfidf,400,3,transformation,0.75,4,4,3,0.75,,1307.5,1590.5,2120.6666666666665,0.75,1.0,0.75,0.8571428571428571,3.9328201039897976,1.0
tfidf:400:t3,tfidf,400,3,contradiction,0.5,4,4,2,0.5,,1314.0,1584.75,3169.5,0.625,1.0,0.625,0.8571428571428571,3.8226845935132587,1.0
tfidf:400:t3,tfidf,400,3,multi_hop,0.5,4,4,2,0.5,,1306.5,1563.5,3127.0,0.4166666666666667,1.0,0.4166666666666667,0.9230769230769231,3.6290915934951045,1.0
tfidf:400:t3,tfidf,400,3,abstention,,4,0,0,,1.0,647.5,726.25,,,,,0.0,1.3573414584971033,1.0
embedding:1600:t3,embedding,1600,3,local,0.75,4,4,3,0.75,,2558.5,2849.25,3799.0,0.875,0.8571428571428571,0.75,0.875,4.2211704687651945,1.0
embedding:1600:t3,embedding,1600,3,distant,0.75,4,4,3,0.75,,2585.75,2880.0,3840.0,1.0,0.625,0.625,1.0,4.136677583257551,1.0
