album,policy,probe,valid_ids,evidence_recall,target_availability,context_tokens_estimate,selected_tracks,input_tokens,output_tokens,support,coverage,overclaim,abstained,citations_span_halves,answer_within_90_words
beatles,full,change,1.0,0.5,1.0,3557.0,17.0,4140.0,123.66666666666667,2.3333333333333335,3.0,1.0,0.0,0.0,1.0
beatles,full,counterevidence,1.0,0.8333333333333334,1.0,3557.0,17.0,4137.0,130.33333333333334,3.6666666666666665,3.6666666666666665,0.3333333333333333,0.0,1.0,1.0
beatles,full,return,1.0,0.0,1.0,3557.0,17.0,4129.0,130.66666666666666,2.0,3.0,0.6666666666666666,0.0,1.0,1.0
beatles,recent3,change,1.0,0.0,0.0,633.0,3.0,894.0,127.0,2.0,3.0,0.6666666666666666,0.0,0.0,1.0
beatles,recent3,counterevidence,1.0,0.0,0.0,633.0,3.0,891.0,127.0,1.6666666666666667,3.0,1.0,0.0,0.0,1.0
beatles,recent3,return,1.0,0.5,0.5,633.0,3.0,883.0,126.33333333333333,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.0,0.0,1.0
beatles,selective6,change,1.0,1.0,1.0,1231.0,6.0,1559.0,135.0,1.3333333333333333,2.3333333333333335,1.0,0.0,1.0,0.6666666666666666
beatles,selective6,counterevidence,1.0,1.0,1.0,1252.0,6.0,1578.0,127.66666666666667,3.6666666666666665,4.0,0.3333333333333333,0.0,1.0,1.0
beatles,selective6,return,1.0,0.16666666666666666,0.5,1275.0,6.0,1591.0,121.66666666666667,1.6666666666666667,3.3333333333333335,0.6666666666666666,0.0,0.3333333333333333,1.0
beatles,summary,change,1.0,0.0,1.0,192.0,17.0,381.0,105.33333333333333,4.0,4.0,0.0,1.0,0.0,1.0
beatles,summary,counterevidence,1.0,0.0,1.0,192.0,17.0,378.0,124.66666666666667,1.0,2.6666666666666665,1.0,0.0,0.0,1.0
beatles,summary,return,1.0,0.0,1.0,192.0,17.0,370.0,94.33333333333333,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
natalia,full,change,1.0,0.5,1.0,2554.0,12.0,3009.0,127.33333333333333,3.0,3.0,0.0,0.0,1.0,1.0
natalia,full,counterevidence,1.0,0.0,1.0,2554.0,12.0,3004.0,131.66666666666666,2.0,3.0,1.0,0.0,1.0,1.0
natalia,full,return,1.0,0.5,1.0,2554.0,12.0,3007.0,126.66666666666667,2.0,3.0,1.0,0.0,1.0,1.0
natalia,recent3,change,1.0,0.0,0.0,654.0,3.0,909.0,129.33333333333334,2.6666666666666665,3.6666666666666665,0.0,0.0,0.0,1.0
natalia,recent3,counterevidence,1.0,0.5,0.5,654.0,3.0,904.0,117.33333333333333,2.6666666666666665,3.6666666666666665,0.3333333333333333,0.0,0.0,1.0
natalia,recent3,return,1.0,0.5,0.5,654.0,3.0,907.0,130.0,2.0,3.0,0.3333333333333333,0.0,0.0,1.0
natalia,selective6,change,1.0,0.5,0.5,1260.0,6.0,1584.0,122.0,3.0,3.0,0.0,0.0,1.0,1.0
natalia,selective6,counterevidence,1.0,0.5,0.5,1310.0,6.0,1623.0,121.66666666666667,3.6666666666666665,4.0,0.0,0.0,1.0,1.0
natalia,selective6,return,1.0,0.5,0.5,1316.0,6.0,1632.0,123.33333333333333,2.0,3.0,1.0,0.0,1.0,1.0
natalia,summary,change,1.0,0.5,0.5,300.0,6.0,486.0,127.33333333333333,2.6666666666666665,3.0,0.6666666666666666,0.0,0.0,1.0
natalia,summary,counterevidence,1.0,0.16666666666666666,0.5,300.0,6.0,481.0,121.66666666666667,2.6666666666666665,3.3333333333333335,0.6666666666666666,0.0,0.0,1.0
natalia,summary,return,1.0,0.0,0.5,300.0,6.0,484.0,125.66666666666667,2.0,3.0,1.0,0.0,0.0,1.0
rhcp,full,change,1.0,0.5,1.0,3136.0,15.0,3651.0,126.33333333333333,3.0,3.0,0.0,0.0,0.0,1.0
rhcp,full,counterevidence,1.0,0.5,1.0,3136.0,15.0,3641.0,123.0,2.3333333333333335,3.0,1.0,0.0,1.0,1.0
rhcp,full,return,1.0,0.6666666666666666,1.0,3136.0,15.0,3647.0,115.33333333333333,3.3333333333333335,3.6666666666666665,0.0,0.0,0.6666666666666666,1.0
rhcp,recent3,change,1.0,0.0,0.0,626.0,3.0,874.0,126.0,2.6666666666666665,3.3333333333333335,0.0,0.0,0.0,1.0
rhcp,recent3,counterevidence,1.0,0.0,0.0,626.0,3.0,864.0,119.66666666666667,2.0,3.0,1.0,0.0,0.0,1.0
rhcp,recent3,return,1.0,0.0,0.0,626.0,3.0,870.0,115.66666666666667,1.3333333333333333,2.6666666666666665,1.0,0.0,0.0,1.0
rhcp,selective6,change,1.0,0.5,0.5,1252.0,6.0,1567.0,123.66666666666667,2.0,2.6666666666666665,1.0,0.0,0.0,1.0
rhcp,selective6,counterevidence,1.0,0.0,0.5,1245.0,6.0,1549.0,125.33333333333333,1.0,2.6666666666666665,1.0,0.0,0.0,1.0
rhcp,selective6,return,1.0,1.0,1.0,1265.0,6.0,1576.0,119.66666666666667,3.6666666666666665,4.0,0.3333333333333333,0.0,1.0,1.0
rhcp,summary,change,1.0,0.0,0.0,194.0,2.0,379.0,125.33333333333333,2.0,3.0,1.0,0.0,0.0,1.0
rhcp,summary,counterevidence,1.0,0.0,0.0,194.0,2.0,369.0,120.66666666666667,1.0,2.0,1.0,0.0,0.0,1.0
rhcp,summary,return,1.0,0.0,0.0,194.0,2.0,375.0,126.0,1.0,2.3333333333333335,1.0,0.0,0.0,1.0
roach,full,change,1.0,1.0,1.0,2573.0,12.0,3042.0,124.33333333333333,4.0,4.0,0.0,0.0,1.0,1.0
roach,full,counterevidence,1.0,1.0,1.0,2573.0,12.0,3039.0,119.66666666666667,3.6666666666666665,4.0,0.3333333333333333,0.0,1.0,1.0
roach,full,return,1.0,0.5,1.0,2573.0,12.0,3033.0,132.66666666666666,2.3333333333333335,3.0,1.0,0.0,0.6666666666666666,1.0
roach,recent3,change,1.0,0.5,0.5,628.0,3.0,884.0,125.66666666666667,3.0,4.0,0.0,0.0,0.0,1.0
roach,recent3,counterevidence,1.0,0.5,0.5,628.0,3.0,881.0,116.66666666666667,2.0,3.0,1.0,0.0,0.0,1.0
roach,recent3,return,1.0,0.5,0.5,628.0,3.0,875.0,126.0,2.0,3.0,0.3333333333333333,0.0,0.0,1.0
roach,selective6,change,1.0,1.0,1.0,1283.0,6.0,1613.0,123.66666666666667,4.0,4.0,0.0,0.0,1.0,1.0
roach,selective6,counterevidence,1.0,0.8333333333333334,1.0,1275.0,6.0,1599.0,120.0,3.3333333333333335,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,1.0
roach,selective6,return,1.0,0.8333333333333334,1.0,1284.0,6.0,1605.0,127.0,3.3333333333333335,4.0,0.0,0.0,1.0,1.0
roach,summary,change,0.0,0.0,0.0,166.0,1.0,351.0,140.66666666666666,3.0,3.6666666666666665,0.0,0.0,0.0,1.0
roach,summary,counterevidence,0.3333333333333333,0.0,0.0,166.0,1.0,348.0,115.33333333333333,1.0,2.3333333333333335,1.0,0.0,0.0,1.0
roach,summary,return,0.3333333333333333,0.0,0.0,166.0,1.0,342.0,103.33333333333333,3.3333333333333335,4.0,0.0,1.0,0.0,1.0
