album,album_order,year,track_num,title,n_lines,n_words,full_text,tokens,types,ttr,hapax_ratio,order,log_tokens
Rubber Soul,1,1965,1,Drive My Car,34,201,"Asked a girl what she wanted to be
She said, ""Baby, can't you see?
I wanna be famous, a star of the screen
But you can do something in between""
""Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you""
I told that girl that my prospects were good
And she said, ""Baby, it's understood
Working for peanuts is all very fine
But I can show you a better time""
""Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you""
Beep-beep'm-beep-beep, yeah
""Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you""
I told that girl I could start right away
When she said, ""Listen, babe, I got something to say
I got no car and it's breaking my heart
But I found a driver and that's a start""
""Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you""
Beep-beep'm-beep-beep, yeah
Beep-beep'm-beep-beep, yeah
Beep-beep'm-beep-beep, yeah
Beep-beep'm-beep-beep, yeah
Beep-beep'm-beep-beep, yeah",219,71,0.3242009132420091,0.5633802816901409,1.0,5.389071729816501
Rubber Soul,1,1965,2,Norwegian Wood (This Bird Has Flown),20,115,"I once had a girl
Or should I say, she once had me?
She showed me her room
""Isn't it good, Norwegian wood?""
She asked me to stay
And she told me to sit anywhere
So I looked around
And I noticed there wasn't a chair
I sat on the rug
Biding my time, drinking her wine
We talked until two
And then she said, ""It's time for bed""
She told me she worked in the morning
And started to laugh
I told her I didn't
And crawled off to sleep in the bath
And when I awoke
I was alone, this bird had flown
So I lit a fire
Isn't it good, Norwegian wood?",115,69,0.6,0.7246376811594203,1.0,4.74493212836325
Rubber Soul,1,1965,3,You Won't See Me,47,326,"When I call you up
Your line's engaged
I have had enough
So act your age
We have lost the time
That was so hard to find
And I will lose my mind
If you won't see me (You won't see me)
You won't see me (You won't see me)
I don't know why you (Ooh, la, la-la)
Should want to hide (Ooh, la, la-la)
But I can't get through (Ooh, la, la-la)
My hands are tied (Ooh, la, la-la)
I won't want to stay (Ooh, la, la-la)
I don't have much to say (Ooh, la, la-la)
But I get turned away (Ooh, la, la-la)
And you won't see me (You won't see me)
You won't see me (You won't see me)
Time after time
You refuse to even listen
I wouldn't mind
If I knew what I was missing (No, I wouldn't, no, I wouldn't)
Though the days are few (Ooh, la, la-la)
They're filled with tears (Ooh, la, la-la)
And since I lost you (Ooh, la, la-la)
It feels like years (Ooh, la, la-la)
Yes, it seems so long (Ooh, la, la-la)
Girl, since you've been gone (Ooh, la, la-la)
And I just can't go on (Ooh, la, la-la)
If you won't see me (You won't see me)
You won't see me (You won't see me)
Time after time
You refuse to even listen
I wouldn't mind
If I knew what I was missing (No, I wouldn't, no, I wouldn't)
Though the days are few (Ooh, la, la-la)
They're filled with tears (Ooh, la, la-la)
And since I lost you (Ooh, la, la-la)
It feels like years (Ooh, la, la-la)
Yes, it seems so long (Ooh, la, la-la)
Girl, since you've been gone (Ooh, la, la-la)
And I just can't go on (Ooh, la, la-la)
If you won't see me (You won't see me)
You won't see me (You won't see me) (Yeah)
Ooh, la, la-la (Yeah, yeah)
Ooh, la, la-la
Ooh, la, la-la",350,84,0.24,0.32142857142857145,1.0,5.857933154483459
Rubber Soul,1,1965,4,Nowhere Man,49,227,"He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody
Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?
Nowhere man, please listen (
Ahh, la, la, la
)
You don't know what you're missing (
Ahh, la, la, la
)
Nowhere man, the world (
Ahh, la, la, la
)
Is at your command (
Ahh, la-la-la-la
)
He's as blind as he can be
Just sees what he wants to see
Nowhere man, can you see me at all?
Nowhere man, don't worry (
Ahh, la, la, la
)
Take your time, don't hurry (
Ahh, la, la, la
)
Leave it all till somebody else (
Ahh, la, la, la
)
Lends you a hand (
Ahh, la-la-la-la
)
Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?
Nowhere man, please listen (
Ahh, la, la, la
)
You don't know what you're missing (
Ahh, la, la, la
)
Nowhere man, the world (Ahh, la, la, la)
Is at your command (Ahh, la-la-la-la)
He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody
Making all his nowhere plans for nobody
Making all his nowhere plans for nobody",216,65,0.30092592592592593,0.24615384615384617,1.0,5.375278407684165
Rubber Soul,1,1965,5,Think for Yourself,33,192,"I've got a word or two
To say about the things that you do
You're telling all those lies
About the good things that we can have
If we close our eyes
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
I left you far behind
The ruins of the life that you have in mind
And though you still can't see
I know your mind's made up
You're gonna cause more misery
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
Although your mind's opaque
Try thinking more if just for your own sake
The future still looks good
And you've got time to rectify
All the things that you should
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
Think for yourself
'Cause I won't be there with you",192,76,0.3958333333333333,0.5657894736842105,1.0,5.2574953720277815
Rubber Soul,1,1965,6,The Word,34,208,"Say the word and you'll be free
Say the word and be like me
Say the word I'm thinking of
Have you heard the word is love?
It's so fine, it's sunshine
It's the word, love
In the beginning, I misunderstood
But now I've got it, the word is good
Spread the word and you'll be free
Spread the word and be like me
Spread the word I'm thinking of
Have you heard the word is love?
It's so fine, it's sunshine
It's the word, love
Everywhere I go, I hear it said
In the good and the bad books that I have read
Say the word and you'll be free
Say the word and be like me
Say the word I'm thinking of
Have you heard the word is love?
It's so fine, it's sunshine
It's the word, love
Now that I know what I feel must be right
I'm here to show everybody the light
Give the word a chance to say
That the word is just the way
It's the word I'm thinking of
And the only word is love
It's so fine, it's sunshine
It's the word, love
Say the word, love
Say the word, love
Say the word, love
Say the word, love",208,56,0.2692307692307692,0.48214285714285715,1.0,5.337538079701318
Rubber Soul,1,1965,7,Michelle,28,213,"Michelle, ma belle (Ooh, ooh)
These are words that go together well (Ooh, ooh)
My Michelle (Ooh, ooh, ooh)
Michelle, ma belle (Ooh, ooh)
Sont des mots qui vont très bien ensemble (Ooh, ooh)
Très bien ensemble (Ooh, ooh, ooh)
I love you, I love you, I love you
That's all I want to say (Ooh, ooh)
Until I find a way (Ooh, ooh-ooh-ooh-ooh-ooh-ooh)
I will say the only words I know that you'll understand
Michelle, ma belle (Ooh, ooh)
Sont des mots qui vont très bien ensemble (Ooh, ooh)
Très bien ensemble (Ooh, ooh, ooh)
I need to, I need to, I need to (Ooh, ooh)
I need to make you see (Ooh, ooh)
Oh, what you mean to me (Ooh, ooh-ooh-ooh-ooh-ooh-ooh)
Until I do, I'm hoping you will know what I mean
I love you (Ooh, ooh)
(Ooh, ooh, ooh, ooh, ooh)
I want you, I want you, I want you
I think you know by now (Ooh, ooh)
I'll get to you somehow (Ooh, ooh-ooh-ooh-ooh-ooh-ooh)
Until I do, I'm telling you so you'll understand
Michelle, ma belle (Ooh, ooh)
Sont des mots qui vont très bien ensemble (Ooh, ooh)
Très bien ensemble (Ooh, ooh, ooh)
And I will say the only words I know that you'll understand
My Michelle (Mmm-mm-mm)",236,60,0.2542372881355932,0.4166666666666667,1.0,5.4638318050256105
Rubber Soul,1,1965,8,What Goes On,35,235,"What goes on in your heart?
What goes on in your mind?
You are tearin' me apart
When you treat me so unkind
What goes on in your mind?
The other day I saw you (Ooh)
As I walked along the road (Ooh)
But when I saw him with you (Ooh)
I could feel my future fold (Ooh)
It's so easy for a girl like you to lie (Ooh, ooh, ooh)
Tell me why
What goes on in your heart?
What goes on in your mind?
You are tearin' me apart
When you treat me so unkind
What goes on in your mind?
I met you in the morning (Ooh)
Waiting for the tides of time (Ooh)
But now the tide is turning (Ooh)
I can see that I was blind (Ooh)
It's so easy for a girl like you to lie (Ooh, ooh, ooh)
Tell me why
What goes on in your heart?
I used to think of no one else (Ooh)
But you were just the same (Ooh)
You didn't even think of me (Ooh)
As someone with a name (Ooh)
Did you mean to break my heart and watch me die? (Ooh, ooh, ooh)
Tell me why
What goes on in your heart?
What goes on in your mind?
You are tearing me apart
When you treat me so unkind
What goes on in your mind?
(In your mind, in your mind)",235,78,0.33191489361702126,0.5384615384615384,1.0,5.459585514144159
Rubber Soul,1,1965,9,Girl,40,249,"Is there anybody going to listen to my story
All about the girl who came to stay?
She's the kind of girl you want so much, it makes you sorry
Still, you don't regret a single day
Ah, girl
Girl, girl
When I think of all the times I've tried so hard to leave her
She will turn to me and start to cry
And she promises the Earth to me and I believe her
After all this time, I don't know why
Ah, girl
Girl, girl
She's the kind of girl who puts you down (
Tit, tit, tit, tit, tit, tit, tit, tit
)
When friends are there, you feel a fool (
Tit, tit, tit, tit, tit, tit, tit, tit
)
(
Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit
)
When you say she's looking good (
Tit, tit, tit, tit, tit, tit, tit, tit
)
She acts as if it's understood (
Tit, tit, tit, tit, tit, tit, tit, tit
)
She's cool, ooh, ooh, ooh (
Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit
)
Girl
Girl, girl
Was she told when she was young that pain would lead to pleasure?
Did she understand it when they said
That a man must break his back to earn his day of leisure?
Will she still believe it when he's dead?
Ah, girl
Girl, girl
Ah, girl
Girl, girl",237,94,0.39662447257383965,0.6808510638297872,1.0,5.4680601411351315
Rubber Soul,1,1965,10,I'm Looking Through You,24,188,"I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same
Your lips are moving, I cannot hear
Your voice is soothing, but the words aren't clear
You don't sound different, I've learned the game
I'm looking through you, you're not the same
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight
You're thinking of me, the same old way
You were above me, but not today
The only difference is you're down there
I'm looking through you, and you're nowhere
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight
I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same
Yeah, oh, baby, you've changed
Ah, I'm looking through you
Yeah, I'm looking through you
You changed, you changed, you changed, you changed, you changed",188,68,0.3617021276595745,0.4411764705882353,1.0,5.236441962829949
