album,artist,song,line_number,attention_window
Abbey Road,The Beatles,Because,1,0
Abbey Road,The Beatles,Because,2,0
Abbey Road,The Beatles,Because,3,0
Abbey Road,The Beatles,Because,4,0
Abbey Road,The Beatles,Because,5,0
Abbey Road,The Beatles,Because,6,0
Abbey Road,The Beatles,Because,7,0
Abbey Road,The Beatles,Because,8,0
Abbey Road,The Beatles,Because,9,0
Abbey Road,The Beatles,Because,10,1
Abbey Road,The Beatles,Because,11,0
Abbey Road,The Beatles,Because,12,1
Abbey Road,The Beatles,Because,13,0
Abbey Road,The Beatles,Because,14,0
Abbey Road,The Beatles,Because,15,0
Abbey Road,The Beatles,Because,16,0
Abbey Road,The Beatles,Because,17,3
Abbey Road,The Beatles,Because,18,2
Abbey Road,The Beatles,Because,19,1
Abbey Road,The Beatles,Because,20,0
Abbey Road,The Beatles,Carry That Weight,1,0
Abbey Road,The Beatles,Carry That Weight,2,0
Abbey Road,The Beatles,Carry That Weight,3,0
Abbey Road,The Beatles,Carry That Weight,4,0
Abbey Road,The Beatles,Carry That Weight,5,0
Abbey Road,The Beatles,Carry That Weight,6,0
Abbey Road,The Beatles,Carry That Weight,7,0
Abbey Road,The Beatles,Carry That Weight,8,0
Abbey Road,The Beatles,Carry That Weight,9,0
Abbey Road,The Beatles,Carry That Weight,10,0
Abbey Road,The Beatles,Carry That Weight,11,0
Abbey Road,The Beatles,Carry That Weight,12,0
Abbey Road,The Beatles,Come Together,1,3
Abbey Road,The Beatles,Come Together,2,2
Abbey Road,The Beatles,Come Together,3,1
Abbey Road,The Beatles,Come Together,4,0
Abbey Road,The Beatles,Come Together,5,0
Abbey Road,The Beatles,Come Together,6,0
Abbey Road,The Beatles,Come Together,7,0
Abbey Road,The Beatles,Come Together,8,0
Abbey Road,The Beatles,Come Together,9,3
Abbey Road,The Beatles,Come Together,10,2
Abbey Road,The Beatles,Come Together,11,1
Abbey Road,The Beatles,Come Together,12,0
Abbey Road,The Beatles,Come Together,13,0
Abbey Road,The Beatles,Come Together,14,0
Abbey Road,The Beatles,Come Together,15,0
Abbey Road,The Beatles,Come Together,16,0
Abbey Road,The Beatles,Come Together,17,0
Abbey Road,The Beatles,Come Together,18,0
Abbey Road,The Beatles,Come Together,19,3
Abbey Road,The Beatles,Come Together,20,2
Abbey Road,The Beatles,Come Together,21,1
Abbey Road,The Beatles,Come Together,22,0
Abbey Road,The Beatles,Come Together,23,0
Abbey Road,The Beatles,Come Together,24,0
Abbey Road,The Beatles,Come Together,25,0
Abbey Road,The Beatles,Come Together,26,0
Abbey Road,The Beatles,Come Together,27,0
Abbey Road,The Beatles,Come Together,28,0
Abbey Road,The Beatles,Come Together,29,0
Abbey Road,The Beatles,Come Together,30,0
Abbey Road,The Beatles,Come Together,31,0
Abbey Road,The Beatles,Come Together,32,0
Abbey Road,The Beatles,Come Together,33,0
Abbey Road,The Beatles,Come Together,34,0
Abbey Road,The Beatles,Come Together,35,0
Abbey Road,The Beatles,Come Together,36,0
Abbey Road,The Beatles,Come Together,37,0
Abbey Road,The Beatles,Come Together,38,2
Abbey Road,The Beatles,Come Together,39,1
Abbey Road,The Beatles,Come Together,40,0
Abbey Road,The Beatles,Come Together,41,0
Abbey Road,The Beatles,Come Together,42,6
Abbey Road,The Beatles,Come Together,43,5
Abbey Road,The Beatles,Come Together,44,4
Abbey Road,The Beatles,Come Together,45,3
Abbey Road,The Beatles,Come Together,46,2
Abbey Road,The Beatles,Come Together,47,1
Abbey Road,The Beatles,Come Together,48,0
Abbey Road,The Beatles,Come Together,49,0
Abbey Road,The Beatles,Come Together,50,1
Abbey Road,The Beatles,Come Together,51,0
Abbey Road,The Beatles,Golden Slumbers,1,1
Abbey Road,The Beatles,Golden Slumbers,2,0
Abbey Road,The Beatles,Golden Slumbers,3,0
Abbey Road,The Beatles,Golden Slumbers,4,0
Abbey Road,The Beatles,Golden Slumbers,5,0
Abbey Road,The Beatles,Golden Slumbers,6,0
Abbey Road,The Beatles,Golden Slumbers,7,0
Abbey Road,The Beatles,Golden Slumbers,8,0
Abbey Road,The Beatles,Golden Slumbers,9,1
Abbey Road,The Beatles,Golden Slumbers,10,0
Abbey Road,The Beatles,Golden Slumbers,11,0
Abbey Road,The Beatles,Golden Slumbers,12,0
Abbey Road,The Beatles,Her Majesty,1,1
Abbey Road,The Beatles,Her Majesty,2,0
Abbey Road,The Beatles,Her Majesty,3,0
Abbey Road,The Beatles,Her Majesty,4,0
Abbey Road,The Beatles,Her Majesty,5,0
Abbey Road,The Beatles,Here Comes the Sun,1,0
Abbey Road,The Beatles,Here Comes the Sun,2,0
Abbey Road,The Beatles,Here Comes the Sun,3,0
Abbey Road,The Beatles,Here Comes the Sun,4,1
Abbey Road,The Beatles,Here Comes the Sun,5,0
Abbey Road,The Beatles,Here Comes the Sun,6,0
Abbey Road,The Beatles,Here Comes the Sun,7,0
Abbey Road,The Beatles,Here Comes the Sun,8,0
Abbey Road,The Beatles,Here Comes the Sun,9,0
Abbey Road,The Beatles,Here Comes the Sun,10,0
Abbey Road,The Beatles,Here Comes the Sun,11,0
Abbey Road,The Beatles,Here Comes the Sun,12,1
Abbey Road,The Beatles,Here Comes the Sun,13,0
Abbey Road,The Beatles,Here Comes the Sun,14,0
Abbey Road,The Beatles,Here Comes the Sun,15,0
Abbey Road,The Beatles,Here Comes the Sun,16,0
Abbey Road,The Beatles,Here Comes the Sun,17,0
Abbey Road,The Beatles,Here Comes the Sun,18,0
Abbey Road,The Beatles,Here Comes the Sun,19,0
Abbey Road,The Beatles,Here Comes the Sun,20,1
Abbey Road,The Beatles,Here Comes the Sun,21,0
Abbey Road,The Beatles,Here Comes the Sun,22,0
Abbey Road,The Beatles,Here Comes the Sun,23,4
Abbey Road,The Beatles,Here Comes the Sun,24,3
Abbey Road,The Beatles,Here Comes the Sun,25,2
Abbey Road,The Beatles,Here Comes the Sun,26,1
Abbey Road,The Beatles,Here Comes the Sun,27,0
Abbey Road,The Beatles,Here Comes the Sun,28,0
Abbey Road,The Beatles,Here Comes the Sun,29,0
Abbey Road,The Beatles,Here Comes the Sun,30,0
Abbey Road,The Beatles,Here Comes the Sun,31,0
Abbey Road,The Beatles,Here Comes the Sun,32,0
Abbey Road,The Beatles,Here Comes the Sun,33,1
Abbey Road,The Beatles,Here Comes the Sun,34,0
Abbey Road,The Beatles,Here Comes the Sun,35,0
Abbey Road,The Beatles,Here Comes the Sun,36,0
Abbey Road,The Beatles,Here Comes the Sun,37,1
Abbey Road,The Beatles,Here Comes the Sun,38,0
Abbey Road,The Beatles,Here Comes the Sun,39,1
Abbey Road,The Beatles,Here Comes the Sun,40,0
Abbey Road,The Beatles,I Want You (She's So Heavy),1,1
Abbey Road,The Beatles,I Want You (She's So Heavy),2,0
Abbey Road,The Beatles,I Want You (She's So Heavy),3,0
Abbey Road,The Beatles,I Want You (She's So Heavy),4,1
Abbey Road,The Beatles,I Want You (She's So Heavy),5,0
Abbey Road,The Beatles,I Want You (She's So Heavy),6,0
Abbey Road,The Beatles,I Want You (She's So Heavy),7,1
Abbey Road,The Beatles,I Want You (She's So Heavy),8,0
Abbey Road,The Beatles,I Want You (She's So Heavy),9,0
