album,artist,song,line_number,lyric_line,word_count
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),1,"Breathe, breathe in the air",5
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),2,Don't be afraid to care,5
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),3,"Leave, but don't leave me",5
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),4,Look around and choose your own ground,7
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),5,For long you live and high you fly,8
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),6,And smiles you'll give and tears you'll cry,8
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),7,And all you touch and all you see,8
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),8,Is all your life will ever be,7
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),9,"Run, rabbit, run",3
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),10,"Dig that hole, forget the sun",6
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),11,And when at last the work is done,8
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),12,"Don't sit down, it's time to dig another one",9
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),13,For long you live and high you fly,8
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),14,But only if you ride the tide,7
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),15,And balanced on the biggest wave,6
The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),16,You race towards an early grave,6
The Dark Side of the Moon,Pink Floyd,Time,1,*ticking clocks*,2
The Dark Side of the Moon,Pink Floyd,Time,2,*clocks ringing*,2
The Dark Side of the Moon,Pink Floyd,Time,3,Ticking away,2
The Dark Side of the Moon,Pink Floyd,Time,4,The moments that make up a dull day,8
The Dark Side of the Moon,Pink Floyd,Time,5,You fritter and waste the hours,6
The Dark Side of the Moon,Pink Floyd,Time,6,In an offhand way,4
The Dark Side of the Moon,Pink Floyd,Time,7,Kicking around on a piece of ground,7
The Dark Side of the Moon,Pink Floyd,Time,8,In your hometown,3
The Dark Side of the Moon,Pink Floyd,Time,9,Waiting for someone,3
The Dark Side of the Moon,Pink Floyd,Time,10,Or something to show you the way,7
The Dark Side of the Moon,Pink Floyd,Time,11,Tired of lying in the sunshine,6
The Dark Side of the Moon,Pink Floyd,Time,12,Staying home to watch the rain,6
The Dark Side of the Moon,Pink Floyd,Time,13,You are young and life is long,7
The Dark Side of the Moon,Pink Floyd,Time,14,And there is time to kill today,7
The Dark Side of the Moon,Pink Floyd,Time,15,And then one day you find,6
