threshold,album,artist,song,attention_window
0.75,Abbey Road,The Beatles,Because,19
0.75,Abbey Road,The Beatles,Because,0
0.75,Abbey Road,The Beatles,Because,0
0.75,Abbey Road,The Beatles,Because,6
0.75,Abbey Road,The Beatles,Because,15
0.75,Abbey Road,The Beatles,Because,3
0.75,Abbey Road,The Beatles,Because,13
0.75,Abbey Road,The Beatles,Because,1
0.75,Abbey Road,The Beatles,Because,11
0.75,Abbey Road,The Beatles,Because,10
0.75,Abbey Road,The Beatles,Because,9
0.75,Abbey Road,The Beatles,Because,8
0.75,Abbey Road,The Beatles,Because,7
0.75,Abbey Road,The Beatles,Because,6
0.75,Abbey Road,The Beatles,Because,5
0.75,Abbey Road,The Beatles,Because,4
0.75,Abbey Road,The Beatles,Because,3
0.75,Abbey Road,The Beatles,Because,2
0.75,Abbey Road,The Beatles,Because,1
0.75,Abbey Road,The Beatles,Because,0
0.75,Abbey Road,The Beatles,Carry That Weight,4
0.75,Abbey Road,The Beatles,Carry That Weight,3
0.75,Abbey Road,The Beatles,Carry That Weight,2
0.75,Abbey Road,The Beatles,Carry That Weight,1
0.75,Abbey Road,The Beatles,Carry That Weight,1
0.75,Abbey Road,The Beatles,Carry That Weight,2
0.75,Abbey Road,The Beatles,Carry That Weight,1
0.75,Abbey Road,The Beatles,Carry That Weight,4
0.75,Abbey Road,The Beatles,Carry That Weight,3
0.75,Abbey Road,The Beatles,Carry That Weight,2
0.75,Abbey Road,The Beatles,Carry That Weight,1
0.75,Abbey Road,The Beatles,Carry That Weight,0
0.75,Abbey Road,The Beatles,Come Together,22
0.75,Abbey Road,The Beatles,Come Together,21
0.75,Abbey Road,The Beatles,Come Together,20
0.75,Abbey Road,The Beatles,Come Together,19
0.75,Abbey Road,The Beatles,Come Together,46
0.75,Abbey Road,The Beatles,Come Together,45
0.75,Abbey Road,The Beatles,Come Together,44
0.75,Abbey Road,The Beatles,Come Together,8
0.75,Abbey Road,The Beatles,Come Together,14
0.75,Abbey Road,The Beatles,Come Together,13
0.75,Abbey Road,The Beatles,Come Together,12
