threshold,artist,mean,median,std,count
0.5,Pink Floyd,17.302884615384617,16.0,11.714378272254262,208
0.5,The Beatles,15.131513647642679,12.0,11.956599561593825,403
0.55,Pink Floyd,17.302884615384617,16.0,11.714378272254262,208
0.55,The Beatles,15.131513647642679,12.0,11.956599561593825,403
0.6,Pink Floyd,17.302884615384617,16.0,11.714378272254262,208
0.6,The Beatles,15.131513647642679,12.0,11.956599561593825,403
0.65,Pink Floyd,17.302884615384617,16.0,11.714378272254262,208
0.65,The Beatles,15.131513647642679,12.0,11.956599561593825,403
0.7,Pink Floyd,17.302884615384617,16.0,11.714378272254262,208
0.7,The Beatles,15.131513647642679,12.0,11.956599561593825,403
