artist,song,cluster_continuity,n_clusters,n_lines,cluster_distribution
Pink Floyd,Brain Damage,1.1428571428571428,5,28,"C0:5, C1:6, C2:8, C3:6, C4:3"
Pink Floyd,Breathe (In the Air),0.3125,5,16,"C0:4, C1:2, C2:4, C3:3, C4:3"
Pink Floyd,Eclipse,0.7727272727272727,5,44,"C0:8, C1:8, C2:19, C3:6, C4:3"
Pink Floyd,Money,2.641025641025641,5,39,"C0:3, C1:14, C2:11, C3:4, C4:7"
Pink Floyd,The Great Gig in the Sky,0.0,5,6,"C0:1, C1:1, C2:2, C3:1, C4:1"
Pink Floyd,Time,0.4418604651162791,5,43,"C0:11, C1:8, C2:14, C3:3, C4:7"
Pink Floyd,Us and Them,0.3125,5,32,"C0:4, C1:5, C2:7, C3:6, C4:10"
The Beatles,Because,0.6,5,20,"C0:4, C1:7, C2:3, C3:4, C4:2"
The Beatles,Carry That Weight,0.08333333333333333,5,12,"C0:2, C1:4, C2:4, C3:1, C4:1"
The Beatles,Come Together,1.3137254901960784,5,51,"C0:16, C1:13, C2:16, C3:3, C4:3"
The Beatles,Golden Slumbers,0.16666666666666666,5,12,"C0:1, C1:4, C2:3, C3:3, C4:1"
The Beatles,Her Majesty,0.0,5,5,"C0:1, C1:1, C2:1, C3:1, C4:1"
The Beatles,Here Comes the Sun,0.475,5,40,"C0:6, C1:16, C2:6, C3:5, C4:7"
The Beatles,I Want You (She's So Heavy),0.40625,5,32,"C0:12, C1:7, C2:6, C3:4, C4:3"
The Beatles,Maxwell's Silver Hammer,0.23076923076923078,5,39,"C0:11, C1:7, C2:4, C3:4, C4:13"
The Beatles,Mean Mr. Mustard,0.21428571428571427,5,14,"C0:4, C1:2, C2:2, C3:3, C4:3"
The Beatles,Octopus's Garden,0.2692307692307692,5,26,"C0:4, C1:9, C2:3, C3:6, C4:4"
The Beatles,Oh! Darling,0.12,5,25,"C0:4, C1:10, C2:4, C3:4, C4:3"
The Beatles,Polythene Pam,0.3333333333333333,5,12,"C0:2, C1:5, C2:3, C3:1, C4:1"
The Beatles,She Came In Through the Bathroom Window,0.5416666666666666,5,24,"C0:4, C1:4, C2:8, C3:2, C4:6"
The Beatles,Something,0.0,5,19,"C0:4, C1:6, C2:3, C3:2, C4:4"
The Beatles,Sun King,0.25,5,8,"C0:2, C1:1, C2:3, C3:1, C4:1"
The Beatles,The End,3.9411764705882355,5,17,"C0:12, C1:2, C2:1, C3:1, C4:1"
The Beatles,You Never Give Me Your Money,3.2127659574468086,5,47,"C0:4, C1:5, C2:9, C3:20, C4:9"
