album,artist,song,sts_window
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,1
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Because,3
Abbey Road,The Beatles,Because,2
Abbey Road,The Beatles,Because,1
Abbey Road,The Beatles,Because,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Carry That Weight,0
Abbey Road,The Beatles,Come Together,3
Abbey Road,The Beatles,Come Together,2
Abbey Road,The Beatles,Come Together,1
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,3
Abbey Road,The Beatles,Come Together,2
Abbey Road,The Beatles,Come Together,1
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,3
Abbey Road,The Beatles,Come Together,2
Abbey Road,The Beatles,Come Together,1
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,2
Abbey Road,The Beatles,Come Together,1
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,0
Abbey Road,The Beatles,Come Together,6
Abbey Road,The Beatles,Come Together,5
Abbey Road,The Beatles,Come Together,4
Abbey Road,The Beatles,Come Together,3
Abbey Road,The Beatles,Come Together,2
Abbey Road,The Beatles,Come Together,1
Abbey Road,The Beatles,Come Together,0
